"","x"
"X20aa07010",0.0249023283256342
"X77c9823f2",4.02843141425601
"ad207f7bb",0.0156537154818007
"b30e932ba",0.00422218118086432
"X6d2ece683",0.0372838235733361
"X1184df5c2",0.0021855811400756
"X26fc93eb7",0.00267067059535772
"ca25aad9f",0.0189698752007609
"ceba761ec",0.015142324027127
"X6eef030c1",0.0311496129206783
"aa164b93b",0.00598354087155465
"X4edc3388d",0.169447084918097
"X1c71183bb",0.00918059333565317
"bb1113dbb",0.0281531123437246
"X150dc0956",0.00769556813892912
"b4da814b8",0.0740319253489081
"X024c577b9",0.000173409073602372
"f32763afc",0.0778763246389608
"cfc1ce276",0.00756227738530968
"d4c1de0e2",0.0112996485834029
"X58e2e02e6",0.0700009998904886
"X9fd594eec",0.0610277018850303
"bec7c48dd",0.0123639593665728
"db3839ab0",0.00281325737674874
"ba4ceabc5",0.0141223452950251
"X42481ff40",0.0260546468472995
"cb22f8a26",0.129137793189175
"f1e0ada11",0.0194514727410047
"eeb9cd3aa",0.0389911553512191
"bf6e38e39",0.0705309687224978
"X96b6bd42b",0.0587482029000163
"X58232a6fb",0.0168213879666228
"X2a83c3267",0.00150640625494063
"d7d314edc",0.0101438120404944
"X73687e512",0.00774118836486825
"X15ace8c9f",0.012920195067467
"f190486d6",0.0734903301243618
"f74e8f13d",0.0156831214997272
"X4ecc3f505",0.016473984659728
"X4c427c13e",0.0321840569303058
"X9d5c7cb94",0.0252202165576157
"X9280f3d04",0.00805219664306641
"X1702b5bf0",0.0207030167084704
"f1851d155",0.0446365183929328
"X73eeb092f",0.0262010921209601
"X555f18bd3",0.0972960330060815
"ddea5dc65",0.0419800138229559
"e43343256",0.00422027421682165
