"","x"
"X20aa07010",0.0249558947249258
"X77c9823f2",3.86949756692082
"ad207f7bb",0.015353559740327
"b30e932ba",0.00420249236666033
"X6d2ece683",0.0370069535384074
"X1184df5c2",0.00221281617692953
"X26fc93eb7",0.00255998892964688
"ca25aad9f",0.0189711707847657
"ceba761ec",0.0151729279362275
"X6eef030c1",0.0310696363741754
"aa164b93b",0.00597764057658771
"X4edc3388d",0.169455711811924
"X1c71183bb",0.00920197493632189
"bb1113dbb",0.0281546402048528
"X150dc0956",0.00772424518344713
"b4da814b8",0.0738905974889405
"X024c577b9",0.000165017741632804
"f32763afc",0.0778573161461564
"cfc1ce276",0.007524423194374
"d4c1de0e2",0.0113894337804777
"X58e2e02e6",0.0700025344548242
"X9fd594eec",0.0609874418572283
"bec7c48dd",0.0123664105732908
"db3839ab0",0.00279551061261002
"ba4ceabc5",0.0140830112967292
"X42481ff40",0.0260238171937905
"cb22f8a26",0.129135487064544
"f1e0ada11",0.0194514410203226
"eeb9cd3aa",0.0389836682506862
"bf6e38e39",0.070519839282765
"X96b6bd42b",0.0587374646846694
"X58232a6fb",0.0168791513219638
"X2a83c3267",0.00151090092551275
"d7d314edc",0.0101865984375617
"X73687e512",0.00773880731277703
"X15ace8c9f",0.012959455493428
"f190486d6",0.0735049603124431
"f74e8f13d",0.0156978420197205
"X4ecc3f505",0.0164049058603395
"X4c427c13e",0.032185063989866
"X9d5c7cb94",0.0253332709441756
"X9280f3d04",0.00804132574418197
"X1702b5bf0",0.0207241392887763
"f1851d155",0.0448059326928195
"X73eeb092f",0.0262099402502823
"X555f18bd3",0.0973611545038142
"ddea5dc65",0.0421812764528937
"e43343256",0.00427010976610416
